"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.945147560E-1,-5.102176666E-1,-9.860079288E-1,1.000569344E1,1.006709664E1
2.995321510E-1,3.441494703E-2,-1.172941446E0,1.018846130E1,1.025581395E1
3.045495470E-1,3.087520003E-1,-1.153451443E0,1.008652210E1,1.015695359E1
3.095669430E-1,3.506172895E-1,-9.516558647E-1,9.710083008E0,9.762903942E0
3.145843910E-1,2.598026991E-1,-7.247748375E-1,8.949792862E0,8.982849675E0
3.196018390E-1,1.884629726E-1,-6.143472195E-1,7.882838249E0,7.908987272E0
3.246192870E-1,1.495508552E-1,-5.891274214E-1,6.543228149E0,6.571397963E0
3.296367350E-1,1.847772598E-1,-6.032710075E-1,5.165676117E0,5.204064593E0
3.346541830E-1,2.541559041E-1,-6.640037298E-1,3.798108101E0,3.864080916E0
3.396716310E-1,2.788187861E-1,-8.363349438E-1,2.383182526E0,2.541014562E0
3.446890780E-1,2.175048888E-1,-1.113807559E0,8.636121750E-1,1.426079116E0
3.497065260E-1,1.002632082E-2,-1.370213032E0,-7.128267288E-1,1.544573153E0
3.547239740E-1,-2.742937207E-1,-1.570287466E0,-2.360773563E0,2.848559564E0
3.597414220E-1,-6.141568422E-1,-1.697672844E0,-4.066403866E0,4.449148470E0
3.647588700E-1,-9.403248429E-1,-1.740317225E0,-5.816241741E0,6.143417847E0
3.697763180E-1,-1.240369678E0,-1.700245857E0,-7.549277782E0,7.837151775E0
3.747937660E-1,-1.515579343E0,-1.588767767E0,-9.085268021E0,9.346831483E0
3.798112140E-1,-1.732431412E0,-1.508796811E0,-1.044968605E1,1.069923946E1
3.848286620E-1,-1.842932701E0,-1.553500295E0,-1.167282009E1,1.191908105E1
3.898461100E-1,-1.841465712E0,-1.648868680E0,-1.266524601E1,1.290419391E1
3.948635580E-1,-1.702147007E0,-1.802256703E0,-1.335199356E1,1.358017547E1
3.998810060E-1,-1.456283569E0,-1.930438280E0,-1.382541084E1,1.403528905E1
4.048984530E-1,-1.134160638E0,-1.955549240E0,-1.397183323E1,1.415353726E1
4.099159010E-1,-7.945191860E-1,-1.953408241E0,-1.388307095E1,1.404231902E1
4.149333490E-1,-4.678512812E-1,-1.971578002E0,-1.369829941E1,1.384736117E1
4.199507970E-1,-1.379345804E-1,-2.072003126E0,-1.341282463E1,1.357262272E1
4.249682450E-1,1.770391166E-1,-2.163930416E0,-1.295941353E1,1.314002803E1
4.299856930E-1,4.677818716E-1,-2.233570099E0,-1.242360878E1,1.263145718E1
4.350031410E-1,7.423005700E-1,-2.281685114E0,-1.174226189E1,1.198489930E1
4.400205890E-1,9.496043921E-1,-2.290306568E0,-1.078496742E1,1.106629003E1
4.450380370E-1,1.129266739E0,-2.289969921E0,-9.406776428E0,9.747135393E0
4.500554850E-1,1.298307061E0,-2.254347086E0,-7.649314404E0,8.079584943E0
4.550729330E-1,1.428705454E0,-2.076177835E0,-5.611712933E0,6.151669344E0
4.600903810E-1,1.481675148E0,-1.792073369E0,-3.431263924E0,4.144931883E0
4.651078280E-1,1.494413972E0,-1.516085863E0,-9.867782593E-1,2.346384623E0
4.701252760E-1,1.529890537E0,-1.267020941E0,1.813720703E0,2.689886598E0
4.751427240E-1,1.562472939E0,-8.749048710E-1,1.111077023E1,1.125415458E1
4.801601720E-1,1.384292603E0,-1.142802119E0,3.731275940E1,3.735591354E1
4.851776200E-1,2.110521555E0,-1.175117135E0,3.927754211E1,3.935175366E1
4.901950680E-1,4.121884823E0,3.176270723E-1,2.119617844E1,2.159557366E1
4.952125160E-1,2.906835556E0,1.655961156E0,1.272355461E1,1.315601544E1
5.002299640E-1,9.833528996E-1,1.822647691E0,9.364208221E0,9.590486074E0
5.052474120E-1,1.924171448E-1,1.406163216E0,7.427609444E0,7.561990571E0
5.102648600E-1,-2.593543530E-1,8.473346233E-1,6.925427437E0,6.981889846E0
5.152823080E-1,-5.391507745E-1,3.435537815E-1,7.290986061E0,7.318961026E0
5.202997560E-1,-5.504837632E-1,-1.441159248E-1,7.513845444E0,7.535361645E0
5.253172030E-1,-3.004527688E-1,-5.107907057E-1,7.221141815E0,7.245417043E0
5.303346510E-1,6.708478928E-2,-6.605546474E-1,6.566679955E0,6.600160486E0
5.353520990E-1,3.883048296E-1,-5.972031355E-1,5.627498627E0,5.672404518E0
