"event","experiment time","system time","system time text"
"START",0.000000000E0,1753082567.316,"2025-07-21 12:52:47.316 UTC+05:30"
"PAUSE",6.139264633E1,1753082628.709,"2025-07-21 12:53:48.709 UTC+05:30"
