"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.456365780E-1,3.586722612E-1,3.732300103E-1,-1.571569443E0,1.654622901E0
3.506537130E-1,-2.798730135E-2,1.085093617E-1,-3.276072979E0,3.277988977E0
3.556708490E-1,-8.554955721E-1,-8.993753791E-2,-1.535490036E0,1.760025876E0
3.606879840E-1,-7.464083433E-1,1.293100417E-1,-4.958095551E-1,9.053582809E-1
3.657051200E-1,-1.144223213E-1,3.656289876E-1,-1.289549828E0,1.345256772E0
3.707222550E-1,-1.921717823E-2,2.666580081E-1,-1.499117851E0,1.522770543E0
3.757393910E-1,-2.508804202E-1,2.387821674E-3,-3.789710999E-1,4.544950841E-1
3.807565260E-1,-1.616963148E-1,-3.833851218E-2,1.533767700E0,1.542743951E0
3.857736610E-1,4.286617339E-1,-3.840023279E-2,1.445271492E0,1.507990433E0
3.907907970E-1,6.008735895E-1,-1.450071782E-1,3.336677551E-1,7.024317213E-1
3.958079320E-1,2.365677208E-1,-2.960677743E-1,8.401241302E-1,9.216447080E-1
4.008250680E-1,-4.452535510E-2,-2.543278337E-1,1.637903214E0,1.658129094E0
4.058422030E-1,1.186828017E-1,-3.427377343E-2,1.052760124E0,1.059983103E0
4.108593380E-1,2.803267837E-1,6.990563869E-2,-2.202072144E-1,3.632645334E-1
4.158764740E-1,-1.065477133E-1,7.003939152E-2,-5.876951218E-1,6.013680135E-1
4.208936090E-1,-2.753886282E-1,4.250565171E-2,-1.896028519E-1,3.370383783E-1
4.259107450E-1,-8.161471784E-2,6.386148930E-2,-4.904041290E-1,5.012339391E-1
4.309278800E-1,-9.513665736E-2,2.503901720E-2,-1.111469269E0,1.115814443E0
4.359450160E-1,-2.333120108E-1,-1.629382372E-2,-9.619941711E-1,9.900165495E-1
4.409621510E-1,-1.937216073E-1,9.452104568E-4,-2.772083282E-1,3.381913834E-1
4.459792860E-1,-3.714899719E-2,5.179575086E-2,1.675472260E-1,1.792621564E-1
4.509964220E-1,4.805912077E-2,6.905430555E-2,2.865715027E-1,2.986660382E-1
4.560135570E-1,2.552533150E-1,-3.448998630E-1,-6.418142319E-1,7.720334698E-1
4.610306930E-1,2.819160223E-1,-8.321319818E-1,-7.250445366E0,7.303483983E0
4.660478280E-1,-1.594476104E-1,-2.701120973E-1,-7.710217476E0,7.716594949E0
4.710649630E-1,3.699302375E-1,1.170184612E0,4.416042709E1,4.417747731E1
4.760820990E-1,3.292503119E0,1.158157349E0,6.416213989E0,7.304088388E0
4.810992340E-1,1.283571124E-2,-3.249781132E-1,-8.334943771E0,8.341286663E0
4.861163700E-1,-2.748596191E0,-1.542989969E0,-1.041805172E1,1.088445684E1
4.911335050E-1,-7.049178481E-1,-7.864564657E-1,-9.872767448E0,9.929096637E0
4.961506410E-1,5.076664686E-2,-4.892651141E-1,-9.610093117E0,9.622673605E0
5.011677760E-1,1.742552668E-1,-4.553118646E-1,-9.581861496E0,9.594255756E0
5.061849110E-1,6.801706553E-2,-3.635300100E-1,-9.089559555E0,9.097080482E0
5.112020470E-1,-2.646188259E0,1.209490538E0,1.350000572E1,1.380997227E1
5.162191820E-1,-2.093384743E0,1.329412460E0,6.406812668E0,6.869996050E0
5.212363180E-1,6.838474870E-1,1.706843138E0,-3.844343185E0,4.261447572E0
5.262534530E-1,1.103789687E0,1.323914528E0,-4.340859890E0,4.670563771E0
5.312705880E-1,-1.678501815E-2,4.680013657E-2,-6.897130966E0,6.897310168E0
5.362877240E-1,8.782560378E-2,-4.566957653E-1,-4.642906189E0,4.666139972E0
5.413048590E-1,1.695215702E0,-2.068797350E-1,1.834604263E1,1.842535850E1
5.463219950E-1,3.168880224E0,-8.234872222E-1,6.902185440E0,7.639378046E0
5.513391300E-1,5.354363918E-1,-4.549119473E-1,-6.076660633E0,6.117143243E0
5.563562660E-1,6.739634275E-2,-3.460284472E-1,-5.877907753E0,5.888469878E0
5.613734010E-1,-2.337572575E0,-7.312073112E-1,1.325917149E1,1.348349132E1
5.663905360E-1,-5.140957832E-1,-2.388664931E-1,8.436468124E0,8.455492067E0
5.714076720E-1,-9.545949101E-2,-2.813447714E-1,-2.884187698E0,2.899449271E0
5.764248070E-1,1.377995014E-1,-8.979940414E-1,-1.760996819E0,1.981537735E0
5.814419430E-1,4.598500580E-2,-8.192839622E-1,4.793998718E0,4.863719209E0
5.864590780E-1,1.250694990E0,-4.174623489E-1,4.909083366E0,5.083071145E0
5.914762130E-1,9.470685720E-1,-4.109430313E-2,1.533626556E0,1.802952589E0
5.964933490E-1,1.024262071E0,1.075665116E0,-6.729719162E0,6.891682540E0
6.015104840E-1,1.211308688E-1,7.775042057E-1,-5.852869034E0,5.905528038E0
6.065276200E-1,-3.033401489E0,-4.052941203E-1,1.187202454E0,3.282565702E0
6.115447550E-1,-1.130860925E0,-5.063164234E-2,-1.113294601E0,1.587713722E0
6.165618910E-1,-3.895842731E-1,5.222512484E-1,-5.181756496E0,5.222559015E0
6.215790260E-1,-2.571973205E-1,3.491566777E-1,-5.845839500E0,5.861902448E0
6.265961610E-1,-7.417222261E-1,4.148742557E-2,-3.535232067E0,3.612442226E0
6.316132970E-1,-5.162596703E-1,4.826045036E-2,7.995815277E-1,9.529867458E-1
6.366304320E-1,5.372617245E-1,3.566553295E-1,1.322227478E0,1.471101182E0
6.416475680E-1,4.747955799E-1,2.940935791E-1,5.142211914E-2,5.608619351E-1
