"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.145189660E-1,9.650662541E-3,-6.263996661E-2,1.275062561E-3,6.339184875E-2
3.195362580E-1,-1.639127731E-7,-5.259135365E-2,-3.485679626E-3,5.270674000E-2
3.245535500E-1,-4.823133349E-3,-4.732438922E-2,1.553440094E-2,5.004176299E-2
3.295707890E-1,-4.804804921E-3,-5.164889991E-2,2.490139008E-2,5.753932777E-2
3.345880290E-1,4.711419344E-3,-5.593641102E-2,1.519584656E-2,5.815490782E-2
3.396052680E-1,9.501844645E-3,-6.024067104E-2,5.574226379E-3,6.123965626E-2
3.446225080E-1,6.854534149E-6,-5.501206219E-2,1.502704620E-2,5.702752977E-2
3.496397480E-1,4.836484790E-3,-5.457553267E-2,1.490402222E-2,5.678036835E-2
3.546569870E-1,1.299381256E-4,-4.934164882E-2,5.283355713E-3,4.962387570E-2
3.596742270E-1,-9.441569448E-3,-5.364933610E-2,-9.008407593E-3,5.521363876E-2
3.646914660E-1,4.810228944E-3,-5.317166448E-2,5.617141724E-4,5.339175712E-2
3.697087060E-1,1.419477165E-2,-5.264645815E-2,5.302429199E-3,5.478372800E-2
3.747259460E-1,-4.988878965E-3,-5.212466419E-2,5.073547363E-4,5.236532191E-2
3.797431850E-1,-4.968136549E-3,-4.685968161E-2,5.249977112E-3,4.741386296E-2
3.847604250E-1,-9.698137641E-3,-4.649204016E-2,9.954452515E-3,4.852478538E-2
3.897776640E-1,-9.640216827E-3,-3.668200970E-2,5.124092102E-3,3.827218227E-2
3.947949040E-1,-9.479716420E-3,-3.645072877E-2,9.832382202E-3,3.892552365E-2
3.998121430E-1,1.764446497E-4,-4.566684365E-2,5.003929138E-3,4.594051642E-2
4.048293830E-1,-1.404190063E-2,-4.056063294E-2,1.920890808E-2,4.702469636E-2
4.098466230E-1,5.047246814E-3,-3.544449806E-2,4.802703857E-3,3.612275055E-2
4.148638620E-1,1.832842827E-4,-3.986799717E-2,-4.735946655E-3,4.014872329E-2
4.198811020E-1,-9.389698505E-3,-4.420407116E-2,4.959106445E-5,4.519036186E-2
4.248983410E-1,-1.888185740E-2,-3.905756772E-2,4.796028137E-3,4.364653503E-2
4.299155810E-1,-1.879791915E-2,-3.395396471E-2,9.502410889E-3,3.995659266E-2
4.349328210E-1,3.308504820E-4,-4.788689315E-2,1.417064667E-2,4.994067706E-2
4.399500600E-1,3.577470779E-4,-3.796119988E-2,9.304046631E-3,3.908639102E-2
4.449673000E-1,5.082398653E-3,-3.766579926E-2,1.872348785E-2,4.236876453E-2
4.499845390E-1,3.222078085E-4,-4.681831598E-2,-5.174636841E-3,4.710451566E-2
4.550017790E-1,-1.384477317E-2,-4.639852047E-2,-5.130767822E-3,4.869112059E-2
4.600190180E-1,5.293250084E-3,-4.598318040E-2,-5.087852478E-3,4.656562702E-2
4.650362580E-1,9.974762797E-3,-4.557131231E-2,-5.046844482E-3,4.692239378E-2
4.700534980E-1,3.202259541E-4,-5.471141636E-2,-2.574920654E-4,5.471295941E-2
4.750707370E-1,2.956837416E-4,-3.528337181E-2,-2.555847168E-4,3.528553639E-2
4.800879770E-1,9.716793895E-3,-3.970822692E-2,-2.555847168E-4,4.088061512E-2
4.851052160E-1,6.541609764E-5,-4.414771497E-2,4.493713379E-3,4.437587719E-2
4.901224560E-1,9.453296661E-5,-4.849867523E-2,-2.918243408E-4,4.849964533E-2
4.951397480E-1,-9.374588728E-3,-2.437488735E-2,-2.880096436E-4,2.611706332E-2
5.001570390E-1,-4.519298673E-3,-3.844012320E-2,4.464149475E-3,3.896146510E-2
5.051743310E-1,-4.450991750E-3,-3.803765774E-2,-3.223419189E-4,3.829854616E-2
5.101916230E-1,5.112767220E-3,-4.238800704E-2,1.392459869E-2,4.490855129E-2
5.152089140E-1,5.099818110E-3,-3.725662827E-2,-4.367828369E-4,3.760658552E-2
5.202262060E-1,2.879202366E-4,-4.166404903E-2,1.381111145E-2,4.389444930E-2
5.252434980E-1,2.636313438E-4,-3.173866868E-2,1.369380951E-2,3.456780308E-2
5.302607890E-1,9.736537933E-3,-4.569004476E-2,1.357841492E-2,4.864929304E-2
