"event","experiment time","system time","system time text"
"START",0.000000000E0,1753100323.780,"2025-07-21 17:48:43.780 UTC+05:30"
"PAUSE",6.589990628E1,1753100389.680,"2025-07-21 17:49:49.680 UTC+05:30"
