"event","experiment time","system time","system time text"
"START",0.000000000E0,1753110748.680,"2025-07-21 20:42:28.680 UTC+05:30"
"PAUSE",7.058759539E1,1753110819.267,"2025-07-21 20:43:39.267 UTC+05:30"
