"event","experiment time","system time","system time text"
"START",0.000000000E0,1753103842.314,"2025-07-21 18:47:22.314 UTC+05:30"
"PAUSE",6.424952409E1,1753103906.563,"2025-07-21 18:48:26.563 UTC+05:30"
