"event","experiment time","system time","system time text"
"START",0.000000000E0,1753103420.018,"2025-07-21 18:40:20.018 UTC+05:30"
"PAUSE",6.440164419E1,1753103484.420,"2025-07-21 18:41:24.420 UTC+05:30"
