"event","experiment time","system time","system time text"
"START",0.000000000E0,1753100193.719,"2025-07-21 17:46:33.719 UTC+05:30"
"PAUSE",6.187802295E1,1753100255.597,"2025-07-21 17:47:35.597 UTC+05:30"
