"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.058103830E-1,-6.657897611E-4,-1.065263641E-3,2.130527282E-3,2.473299240E-3
2.083189770E-1,3.994738800E-4,-0.000000000E0,1.065263641E-3,1.137702072E-3
2.108275710E-1,3.994738800E-4,-1.065263641E-3,0.000000000E0,1.137702072E-3
2.133361650E-1,3.994738800E-4,-1.065263641E-3,0.000000000E0,1.137702072E-3
2.158447580E-1,-6.657897611E-4,-0.000000000E0,-1.065263641E-3,1.256209629E-3
2.183533520E-1,-6.657897611E-4,-1.065263641E-3,0.000000000E0,1.256209629E-3
2.208619460E-1,3.994738800E-4,1.065263641E-3,1.065263641E-3,1.558573909E-3
2.233705400E-1,3.994738800E-4,-0.000000000E0,1.065263641E-3,1.137702072E-3
2.258791330E-1,3.994738800E-4,1.065263641E-3,0.000000000E0,1.137702072E-3
2.283877270E-1,3.994738800E-4,1.065263641E-3,0.000000000E0,1.137702072E-3
2.308963210E-1,3.994738800E-4,-0.000000000E0,0.000000000E0,3.994738800E-4
2.334049150E-1,1.464737463E-3,-0.000000000E0,-1.065263641E-3,1.811143964E-3
2.359135080E-1,3.994738800E-4,1.065263641E-3,0.000000000E0,1.137702072E-3
2.384221020E-1,3.994738800E-4,-0.000000000E0,1.065263641E-3,1.137702072E-3
2.409306960E-1,-6.657897611E-4,-1.065263641E-3,1.065263641E-3,1.647072936E-3
2.434392900E-1,-6.657897611E-4,-1.065263641E-3,0.000000000E0,1.256209629E-3
2.459478830E-1,3.994738800E-4,-0.000000000E0,0.000000000E0,3.994738800E-4
2.484564770E-1,3.994738800E-4,-0.000000000E0,0.000000000E0,3.994738800E-4
2.509650710E-1,3.994738800E-4,-0.000000000E0,0.000000000E0,3.994738800E-4
2.534736650E-1,2.530001104E-3,-1.065263641E-3,1.065263641E-3,2.944567682E-3
2.559822580E-1,1.464737463E-3,-1.065263641E-3,0.000000000E0,1.811143964E-3
2.584908520E-1,3.994738800E-4,-0.000000000E0,0.000000000E0,3.994738800E-4
2.609994460E-1,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
2.635080400E-1,3.994738800E-4,-0.000000000E0,0.000000000E0,3.994738800E-4
2.660166330E-1,3.994738800E-4,-0.000000000E0,1.065263641E-3,1.137702072E-3
2.685252270E-1,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
